titulo,precio,ubicacion,dorm,ban,sup
b'A ESTRENAR!',U$S 39.000, Alto Alberdi ,1,1,sin datos
b'1 Dorm  /  /  N',consultar, Nueva Córdoba ,1,1,50
b'Balcones de Cof',consultar, Alta Córdoba ,2,2,60
b'2 Dorm  /  /  2',consultar, Nueva Córdoba ,2,2,70
b'1 Dorm  /  /  N',consultar, Nueva Córdoba ,1,1,50
b'Se Vende Depart',U$S 55.000, Nueva Córdoba ,1,1,60
b'ALTA CORDOBA HE',U$S 41.000, Alta Córdoba ,1,1,60
b'DEPARTAMENTO EN',U$S 59.000, Alto Alberdi ,2,1,sin datos
b'DEPARTAMENTO EN',U$S 75.000, General Paz ,2,2,sin datos
b'VENTA DEPTO REG',U$S 30.000, Nueva Córdoba ,1,1,50
b'ENORME DEPTO EN',U$S 44.500, Alta Córdoba ,1,1,50
b'Venta! Departam',U$S 53.000, General Paz ,1,1,45
b'Venta de depart',U$S 15.000, Pueyrredon ,2,1,sin datos
b'REAL OPORTUNIDA',U$S 49.000, General Paz ,1,1,55
b'DEPARTAMENTO 1 ',U$S 125.000, General Paz ,2,1,sin datos
b'DEPARTAMENTO EN',U$S 165.000, General Paz ,2,2,sin datos
b'UARA- DEPARTAME',U$S 49.000, Cofico ,1,1,sin datos
b'PRE VENTA NUEVA',consultar, Nueva Córdoba ,1,1,sin datos
b'EXCELENTE DEPAR',U$S 118.000, General Paz ,2,2,sin datos
b'DEPARTAMENTO EN',U$S 57.000, General Paz ,1,1,sin datos
b'UARA- DEPARTAME',U$S 52.000, Observatorio ,1,1,sin datos
b'DEPARTAMENTO EN',U$S 140.000, Arguello ,2,2,sin datos
b'UARA- DEPARTAME',U$S 58.000, Alberdi ,3,1,sin datos
b'DEPARTAMENTO EN',U$S 97.000, General Paz ,2,2,sin datos
b'PRE VENTA- DEPA',consultar, Centro ,1,1,sin datos
b'Alta Cba 1 D. b',U$S 40.000, Alta Córdoba ,1,1,43
b'Oportunidad! De',U$S 38.000, Cofico ,1,1,40
b'ALTO VILLASOL D',U$S 60.000, Altos de Villa Sol ,1,1,sin datos
b'VENDO DEPARTAME',U$S 62.500, General Paz ,1,1,51
b'Vendo departame',U$S 42.000, Alta Córdoba ,2,sin datos,50
b'SE VENDE DPTO 2',U$S 85.000, Centro ,2,2,87
b'Departamentos e',U$S 40.000, Jockey Club ,2,1,60
b'Venta departame',U$S 62.000, Pueyrredon ,2,1,sin datos
b'IMPECABLE- B\xc2\xba ',U$S 49.000, General Paz ,1,sin datos,45
"b'Nva Cba,  1 dor'",U$S 65.000, Nueva Córdoba ,1,sin datos,45
b'EN VENTA- Depto',U$S 72.000, Centro ,2,2,74
b'VENDO MONOAMBIE',U$S 30.000, Guemes ,Monoambiente,1,20
b'Venta amplio y ',U$S 32.000, San Martin ,1,1,45
b'VENTA CUATRO DE',U$S 195.000, Urca ,2,4,300
b'PISO EXCLUSIVO ',consultar, Nueva Córdoba ,2,2,120
b'EXCLUSIVO PISO ',consultar, Nueva Córdoba ,2,2,120
b'ALTO ALBERDI DE',U$S 35.000, Alto Alberdi ,1,1,35
b'OPORTUNIDAD DPT',U$S 30.000, Lomas de San Martín ,1,1,51
b'General Paz 3 d',U$S 112.900, General Paz ,3,2,127
b'Alta C\xc3\xb3rdoba 2',U$S 53.900, Alta Córdoba ,2,2,sin datos
b'COPAHUE 6- Cali',U$S 78.000, Nueva Córdoba ,1,1,47
b'VENTA DUPLEX 3 ',U$S 100.000, Villa Belgrano ,3,2,sin datos
b'DUE\xc3\x91O VENDE DI',U$S 92.000, Nueva Córdoba ,1,1,40
b'San Martin dpto',U$S 31.000, San Martin ,1,sin datos,40
b'VENDO DEPTO 1 D',U$S 49.000, General Paz ,1,sin datos,35
b'EXCELENTE DEPTO',U$S 69.000, Nueva Córdoba ,1,1,sin datos
b'GENERAL PAZ-BAL',U$S 58.500, General Paz ,1,1,sin datos
b'LUJOSO! PREMIUM',consultar, Cerro de las Rosas ,3,4,340
b'CATEGORIA! A MT',consultar, Guemes ,1,1,sin datos
b'HERMOSO DEPARTA',U$S 57.000, Paso de los Andes ,1,1,sin datos
b'NUEVA CORDOBA-F',U$S 180.000, Nueva Córdoba ,2,2,sin datos
b'NUEVA CORDOBA-C',U$S 78.000, Nueva Córdoba ,1,1,sin datos
b'CATEGORIA!! A M',consultar, Guemes ,2,1,sin datos
b'GENERAL PAZ-UBI',U$S 52.500, General Paz ,1,sin datos,sin datos
b'MTS NVA CORDOBA',U$S 54.000, Nueva Córdoba ,1,2,sin datos
b'A MTS DE NUEVA ',U$S 82.300, Nueva Córdoba ,2,2,sin datos
b'A MTS DE NUEVA ',U$S 47.000, Nueva Córdoba ,1,1,sin datos
b'SONOMA 9- 2 DOR',consultar, General Paz ,2,1,sin datos
b'SONOMA 9- 1 DOR',consultar, General Paz ,1,1,1
b'GRAL PAZ- CON C',U$S 80.000, General Paz ,1,1,sin datos
b'Venta Departame',U$S 63.000, Nueva Córdoba ,1,1,sin datos
b'VENTA DPTO 1 DO',U$S 35.000, Alberdi ,1,1,sin datos
b'VENTA DPTO 1 DO',U$S 49.500, Nueva Córdoba ,1,1,sin datos
b'VENTA DPTO 1 DO',U$S 29.000, Alto Alberdi ,1,1,37
b'Departamentos d',U$S 55.000, General Paz ,1,sin datos,60
b'OPORTUNIDAD PAR',U$S 49.000, General Paz ,1,1,45
b'DEPARTAMENTO EN',U$S 44.000, Alta Córdoba ,1,1,sin datos
b'GRAN DEPARTAMEN',U$S 65.000, Observatorio ,2,2,92
b'VENDO DUPLEX NU',U$S 100.000, Nuevo Urca ,3,3,sin datos
b'DTO EN VENTA 1 ',U$S 35.000, Alberdi ,1,1,45
"b'Depto 3 Dor,  3'",U$S 140.000, Primero de Mayo ,3,3,160
b'BUEN PASTOR EN ',U$S 45.000, Alto Alberdi ,1,1,82
b'ALTO ALBERDI Dp',U$S 38.000, Alto Alberdi ,1,1,sin datos
b'Depto 1 DOR GAM',U$S 55.000, Terranova ,1,1,40
b'1 Dorm  /  /  C',consultar, Nueva Córdoba ,1,1,35
b'Parana 300 Edif',U$S 335.000, Centro ,Monoambiente,sin datos,280
b'VENTA DEPARTAME',U$S 91.999, General Paz ,1,1,52
b'PREMIUM- 2 dorm',U$S 132.000, General Paz ,2,2,90
b'ESPECTACULAR So',U$S 157.500, Nueva Córdoba ,2,2,sin datos
b'PREVENTA NUEVA ',U$S 58.300, Nueva Córdoba ,1,1,46
b'ESPECTACULAR So',U$S 157.500, Nueva Córdoba ,2,2,sin datos
b'MAGNA 9- Premiu',U$S 55.000, General Paz ,1,1,45
b'ALTA CORDOBA Dt',U$S 40.000, Alta Córdoba ,1,sin datos,sin datos
b'VENTA DPTO INDE',U$S 50.000, Centro ,1,1,50
b'Costa de Manant',U$S 115.000, Manantiales ,2,2,85
b'DUE\xc3\x91O VENDE DP',U$S 59.000, Centro ,1,sin datos,45
b'VENTA DPTO INDE',U$S 60.000, Centro ,1,1,sin datos
b'1 dormitorio co',U$S 75.000,sin ubicacion,1,sin datos,sin datos
b'EXCELENTE OPORT',U$S 39.000, Centro ,1,1,45
b'SE VENDE depart',U$S 35.000, Alberdi ,1,1,43
b'-APTO CREDITO-D',U$S 82.000, Nueva Córdoba ,2,1,80
"b'NUEVA C\xc3\x93RDOBA,'",U$S 135.000, Nueva Córdoba ,2,2,95
b'Departamento. 1',U$S 21.000, Alta Córdoba ,1,1,sin datos
b'Departamento ti',U$S 150.000, Altos de Manantiales ,2,2,sin datos
b'DEPARTAMENTO PL',U$S 175.000, Las Rosas ,2,1,sin datos
b'Vendo housing d',U$S 145.000, Valle Escondido ,3,3,sin datos
b'Mda Bienes Inmu',U$S 60.000, Centro ,2,1,50
b'Dpto de Dos Dor',U$S 62.000, La France ,2,1,sin datos
b'Mariano Larra 4',U$S 330.000, Cerro de las Rosas ,2,2,110
b'9 de Julio 300 ',U$S 175.000, Centro ,3,3,185
b'2 Dorm  /  /  2',consultar, Nueva Córdoba ,2,2,100
b'1 Dorm  /  /  A',consultar, Alto Alberdi ,1,1,45
b'1 Dorm  /  /  B',consultar, Alberdi ,1,1,50
b'1 Dorm  /  /  N',consultar, Nueva Córdoba ,1,1,45
b'Esposos Curie 2',U$S 35.000, Maipu Sección 1 ,2,1,47
b'General Paz 100',U$S 170.000, Centro ,4,3,220
b'24 de Septiembr',U$S 50.000, General Paz ,1,1,44
b'VENTA OPERA dep',U$S 155.000, Las Rosas ,2,1,sin datos
b'PASO DE LOS AND',U$S 50.000, Paso de los Andes ,1,1,sin datos
b'DEPARTAMENTO AP',U$S 50.000, Observatorio ,2,1,70
b'DPTO 1 DORM Y M',U$S 49.000, Nueva Córdoba ,1,1,50
b'APTO CREDITO-MO',U$S 33.000, Nueva Córdoba ,Monoambiente,1,25
b'SE VENDE DEPART',U$S 39.900, General Paz ,1,1,sin datos
b'Oportunidad de ',U$S 35.000,sin ubicacion,sin datos,1,sin datos
b'Dpto en VENTA- ',U$S 80.000,sin ubicacion,3,2,sin datos
b'-APTO CREDITO- ',U$S 88.000, Centro ,4,2,100
b'Alberdi un dorm',U$S 33.900, Centro ,1,1,sin datos
b'HOME I- FAUSTNO',U$S 46.000, Cofico ,1,1,42
b'CENTRO- 4dor AV',U$S 140.000, Centro ,4,2,120
b'DPTO. 1 DORMITO',U$S 53.000, Nueva Córdoba ,1,1,sin datos
b'DPTO. 1 DORMITO',U$S 52.000, Nueva Córdoba ,1,1,sin datos
b'Nueva Cordoba a',U$S 54.900, Nueva Córdoba ,1,1,sin datos
b'C\xc3\xb3rdoba- Micro',U$S 85.000, Centro ,2,2,sin datos
b'B\xc2\xb0 GRAL PAZ AV',U$S 42.000, General Paz ,1,1,41
b'ALTA CBA- VENTA',U$S 39.000, Alta Córdoba ,1,sin datos,sin datos
b'Departamento de',U$S 320.000, Chateau Carreras ,3,2,sin datos
b'DUPLEX A ESTREN',U$S 175.000, Greenville 2 ,3,3,sin datos
b'Departamento 2 ',U$S 175.000, Las Rosas ,2,2,sin datos
b'Venta de depart',U$S 39.900, Alta Córdoba ,1,1,40
b'Venta de Depart',U$S 63.000, Centro ,1,1,sin datos
b'Venta Departame',U$S 63.000, Centro ,2,1,sin datos
b'Venta Departame',U$S 49.000, Centro ,1,1,sin datos
b'Opera Luxury  /',U$S 70.000, Las Rosas ,1,sin datos,sin datos
b'CARDINALES Cofi',U$S 65.000, Cofico ,1,1,sin datos
b'D\xc3\xbaplex. Un dor',U$S 48.000, Nueva Córdoba ,1,1,sin datos
b'MONOAMBIENTE B\xc2',U$S 25.000, Centro ,sin datos,1,sin datos
b'GRAN OPORTUNIDA',U$S 27.500, Centro ,1,1,sin datos
b'Departamento en',U$S 48.000, Pueyrredon ,1,1,sin datos
b'Duplex 3 dormit',U$S 110.000, Parque Velez Sarsfield ,3,3,125
b'2 DORM NUEVA CO',U$S 95.000, Nueva Córdoba ,2,2,sin datos
b'Departamento. B',U$S 24.000, Centro ,1,1,sin datos
b'Un dormitorio. ',U$S 37.000, Centro ,1,1,sin datos
b'Departamento 1 ',U$S 55.000, Nueva Córdoba ,1,1,sin datos
b'Departamento CO',U$S 63.000, Crisol Norte ,1,1,sin datos
b'Venta departame',U$S 180.000, Nueva Córdoba ,3,2,sin datos
b'DEPARTAMENTOS D',U$S 88.000, Cofico ,1,1,sin datos
b'A metros de Av.',U$S 150.000, Nueva Córdoba ,2,2,sin datos
b'TORRE DUOMO EXC',consultar, Nueva Córdoba ,1,1,sin datos
b'DPTO CAT 3 DORM',U$S 180.000, Alberdi ,3,2,74
"b'Centro, manzana'",U$S 65.000, Centro ,2,1,75
b'LAS PALMAS- 3 D',U$S 85.000, Villa Sol ,3,2,sin datos
b'OPORTUNIDAD UNI',U$S 39.000, Alberdi ,1,1,sin datos
b'DEPTO EN VENTA-',U$S 24.000, Alto Alberdi ,1,1,sin datos
b'DEPTO 1 DOR- BA',U$S 52.000, Centro ,1,1,sin datos
b'AMPLIO LOFT EN ',U$S 40.000, Centro ,sin datos,1,sin datos
b'Departamento Pl',U$S 110.000, Alto Alberdi ,2,1,sin datos
b'DEPARTAMENTO Tr',U$S 294.091, Nueva Córdoba ,2,3,sin datos
b'Vendo departame',U$S 199.000, Valle Escondido ,2,2,sin datos
b'Venta departame',U$S 75.850, Nueva Córdoba ,1,1,sin datos
b'RINCONES DE MAN',U$S 90.000, Manantiales ,2,2,sin datos
b'GREENVILLE 2 PA',U$S 210.000, Greenville 2 ,3,3,sin datos
b'VENTA DE DORMIT',U$S 173.000, Jardín Hipodromo ,2,2,sin datos
b'PLAZA ESPA\xc3\x91A- ',U$S 360.000, Nueva Córdoba ,3,3,sin datos
b'Vendo Dpto 1 do',U$S 40.000, Pueyrredon ,1,1,sin datos
b'Venta departame',U$S 135.119, Nueva Córdoba ,2,2,sin datos
b'Venta departame',U$S 69.340, Nueva Córdoba ,1,1,sin datos
b'LOS NOTROS- OBI',U$S 91.000, Nueva Córdoba ,1,1,47
b'1 1 / 2 DORM NU',U$S 103.000, Nueva Córdoba ,1,1,sin datos
b'DEPTO 1 DOR- PI',U$S 50.000, Centro ,1,1,sin datos
b'Departamento en',U$S 40.500, Alto Alberdi ,1,1,45
b'DUPLEX A ESTREN',U$S 110.000, Solares de Manantiales ,3,2,sin datos
b'A REFACCIONAR!!',U$S 80.000, General Paz ,3,2,108
b'ORGAZ 138- 1 DO',U$S 29.000, Alberdi ,1,1,sin datos
b'B\xc2\xba Alberdi! 1 ',U$S 43.000, Alberdi ,1,1,sin datos
b'Alberdi como Nu',U$S 50.000, Alberdi ,1,1,sin datos
b'NUEVA CORDOBA- ',U$S 45.000, Nueva Córdoba ,1,1,sin datos
b'Nva Cba. con Co',U$S 58.000, Nueva Córdoba ,1,2,sin datos
b'Alto Alberdi. 1',U$S 55.000, Alto Alberdi ,1,1,sin datos
b'\xc3\x9anicos! Deptos',U$S 62.000, Alberdi ,2,2,sin datos
b'B\xc2\xb0 CERRO Dpto.',U$S 300.000, Cerro de las Rosas ,3,2,sin datos
b'GRAL PAZ 2 DOR ',U$S 95.000, General Paz ,2,1,sin datos
b'B General Paz a',U$S 49.000, General Paz ,1,1,sin datos
b'Terrazas del Li',U$S 55.000, San Martin ,1,1,sin datos
b'B\xc2\xb0 CENTRO BELG',U$S 42.000, Centro ,1,1,sin datos
b'Oport!! B Gral ',U$S 46.500, General Paz ,1,1,45
b'VENTA DEPTO PQU',U$S 38.000, Parque Capital ,2,1,sin datos
b'VENTA EN AV. HI',U$S 62.000, Nueva Córdoba ,1,1,sin datos
b'Nueva C\xc3\xb3rdoba ',U$S 91.900, Nueva Córdoba ,2,1,sin datos
b'Departamento 2 ',U$S 51.900, Centro ,2,1,sin datos
b'Alto Villa Sol ',U$S 85.900, Lomas del Chateau  ,2,1,sin datos
b'Departamento un',U$S 41.900, Guemes ,1,1,sin datos
b'GREENLIFE II 1D',U$S 78.000, General Paz ,1,1,52
b'Oportunidad Alt',U$S 40.900, Alta Córdoba ,1,1,50
b'Departamento en',U$S 35.000, Cofico ,1,1,sin datos
b'DEPARTAMENTO 3 ',U$S 152.000, Nueva Córdoba ,3,3,sin datos
b'DEPARTAMENTO EN',U$S 40.000, Lomas de San Martín ,1,1,sin datos
b'Venta Departame',U$S 218.529, Nueva Córdoba ,3,1,sin datos
b'Venta Departame',U$S 103.462, Nueva Córdoba ,1,1,sin datos
b'VENTA DEPARTAME',U$S 40.000, Providencia ,1,1,sin datos
b'VENTA DEPTO 1 D',U$S 60.000, Cofico ,1,1,sin datos
b'Paso de los And',U$S 133.000, Paso de los Andes ,3,2,110
b'Venta departame',U$S 44.000, Nueva Córdoba ,1,1,sin datos
b'DUPLEX A ESTREN',U$S 198.000, Cañuelas Chicos ,3,3,sin datos
b'DEPTO 1 DOR- GR',U$S 57.000, General Paz ,1,1,sin datos
b'INVERTI! u$25M-',U$S 25.000, Alberdi ,1,1,41
b'DEPTO 1 DOR- CE',U$S 50.000, Centro ,1,1,sin datos
b'DEPTO 1 DOR- NV',U$S 75.000, Nueva Córdoba ,1,1,sin datos
b'OPORTUNIDAD!! C',U$S 40.000, Cofico ,1,1,sin datos
"b'NUEVA CBA,  45 '",U$S 69.000, Nueva Córdoba ,1,1,sin datos
b'PISO CATEGORIA ',U$S 285.000, Nueva Córdoba ,4,4,245
b'DEPTO 2 DOR- 2 ',U$S 100.000, General Paz ,2,2,sin datos
b'Excelente Dpto ',U$S 65.000, Centro ,2,2,60
b'VENTA HOUSING S',U$S 75.000, Jardín Espinosa ,1,2,sin datos
b'POCOS METROS CA',U$S 31.500, San Martin ,1,1,45
b'Depto Venta- 2 ',U$S 53.000, Alberdi ,2,1,sin datos
b'OPORTUNIDAD!! Z',U$S 21.000, San Vicente ,1,1,sin datos
b'BETANIA URBANO ',U$S 80.000, Nueva Córdoba ,1,1,48
b'PARANA ESQUINA ',U$S 89.000, Centro ,3,2,89
b'DEPTO CON PATIO',U$S 35.000, San Vicente ,1,3,60
b'NVA CBA GUEMES ',U$S 55.000, Manantiales ,1,1,sin datos
b'CERCA CIUDAD UN',U$S 49.000, Guemes ,2,1,sin datos
b'Dptos de dorm f',U$S 40.150, Paso de los Andes ,3,2,sin datos
b'DEPARTAMENTO ES',U$S 72.000, Cofico ,2,1,50
b'DUPLEX A ESTREN',U$S 178.000, Villa Belgrano ,3,3,sin datos
b'Dpto. en VENTA ',U$S 55.000, Alberdi ,1,1,sin datos
b'Dpto 2 dorm B\xc2\xb0',U$S 160.000, Jardín Hipodromo ,2,2,sin datos
b'VALLE ESCONDIDO',U$S 220.000, Valle Escondido ,3,2,120
b'Chateu Mai Tei ',U$S 120.000,sin ubicacion,1,1,50
b'VENTA TORRES H ',U$S 65.000, Guemes ,2,2,60
b'DEPARTAMENTO EN',U$S 34.000, Centro ,1,1,sin datos
b'DOS DEPARTAMENT',U$S 59.000, Los Olmos ,4,1,sin datos
b'DEPARTAMENTO DE',U$S 55.000, San Martin ,2,1,sin datos
b'Venta Dos Dormi',U$S 70.000, Centro ,2,1,sin datos
b'VENTA NUEVA COR',U$S 51.000, Nueva Córdoba ,1,1,sin datos
b'OPORTUNIDAD! Al',U$S 37.000, Alta Córdoba ,1,1,sin datos
b'Departamento Ve',U$S 42.000, San Martin ,2,1,sin datos
b'OPORTUNIDAD DEP',U$S 47.000, Nueva Córdoba ,1,1,sin datos
b'CENTRO- Departa',U$S 29.500, Centro ,1,1,sin datos
b'PARQUE HORIZONT',U$S 95.000,sin ubicacion,3,sin datos,sin datos
b'GREENVILLE 2- D',U$S 185.000, Greenville 2 ,3,sin datos,sin datos
b'DUPLEX A ESTREN',U$S 83.000, Docta Urbanización Inteligente ,2,2,sin datos
b'OPORTUNIDAD DEP',U$S 45.000, Centro ,2,1,sin datos
b'Chacabuco al 66',U$S 78.000, Nueva Córdoba ,1,1,50
b'Depto en Venta ',U$S 63.000, General Paz ,1,1,50
b'Depto en Venta ',U$S 73.000, Jardín ,1,1,46
b'CASA EN VENTA E',U$S 28.000, Los Platanos ,2,1,sin datos
b'VENTA DEPARTAME',U$S 68.000,sin ubicacion,2,2,sin datos
b'ZUMAR\xc3\x81N (LULIO',U$S 43.000, Zumaran ,2,1,sin datos
b'PRE VENTA- INVE',U$S 65.000, Docta Urbanización Inteligente ,2,2,sin datos
b'VENTA DEPARTAME',U$S 59.900, Nueva Córdoba ,2,1,56
b'VENTA DUPLEX A ',U$S 99.000,sin ubicacion,3,3,sin datos
b'CASONAS DE MANA',U$S 135.000, Manantiales ,2,sin datos,sin datos
b'HERMOSO DEPTO L',U$S 32.000, Otro ,2,sin datos,sin datos
b'VENTA DE DEPART',U$S 29.000, Ameghino Sud ,1,1,sin datos
b'VENTA DEPARTAME',U$S 59.500, Nueva Córdoba ,1,1,sin datos
b'Alberdi a estre',U$S 58.000, Alberdi ,1,1,sin datos
b'GREEN VILLE 2- ',U$S 185.000, Greenville 2 ,3,3,180
b'Ros de Sta Fe d',U$S 54.000, Alberdi ,3,2,sin datos
b'Gral. Bustos du',U$S 45.000, General Bustos ,2,1,sin datos
b'Duplex 2 dor co',U$S 70.000,sin ubicacion,2,2,sin datos
b'OPORTUNIDAD- DP',U$S 79.000, Nueva Córdoba ,1,1,sin datos
b'DEPARTAMENTO VE',U$S 294.000, Valle Escondido ,3,2,sin datos
b'1 DORMITORIO EN',U$S 81.000, Nueva Córdoba ,1,1,42
b'Obispo Trejo 90',U$S 72.000, Nueva Córdoba ,2,2,51
b'Departamento a ',U$S 33.000, Nueva Córdoba ,1,1,sin datos
b'ALBERDI (27 DE ',consultar, Alberdi ,1,1,sin datos
b'DEPARTAMENTO VE',U$S 31.500, Alberdi ,2,1,sin datos
b'DEPARTAMENTO VE',U$S 180.000, Urca ,2,2,sin datos
b'VENDO DEPARTAME',U$S 38.500, Alto Alberdi ,1,1,45
b'Departamento en',U$S 75.000, Pueyrredon ,2,1,sin datos
b'Departamento Ex',U$S 265.000, Nueva Córdoba ,2,2,sin datos
b'VENDO DEPTO 2 D',U$S 140.000, Nueva Córdoba ,2,2,sin datos
b'En venta: Hermo',U$S 33.000, Centro ,sin datos,1,sin datos
b'Duplex Zona Rut',U$S 55.000, San Rafael ,2,1,80
b'OPORTUNIDAD EN ',U$S 82.000, Nueva Córdoba ,1,1,sin datos
"b'Nueva C\xc3\xb3rdoba,'",U$S 55.000, Nueva Córdoba ,1,1,sin datos
b'Departamentos a',U$S 61.000, General Paz ,1,1,sin datos
b'Departamento a ',U$S 60.000, Nueva Córdoba ,1,1,sin datos
b'Departamento a ',U$S 130.000, Nueva Córdoba ,3,2,sin datos
b'PALMAS DEL CLAR',U$S 24.500, Palmas de Claret ,1,1,sin datos
b'Nueva C\xc3\xb3rdoba ',U$S 80.000, Nueva Córdoba ,1,1,sin datos
b'DEPARTAMENTO 1 ',U$S 57.000, General Paz ,1,1,sin datos
b'Departamento- V',U$S 140.000, Centro ,3,3,sin datos
b'VENTA 1 DORMITO',U$S 67.500, General Paz ,1,sin datos,sin datos
b'Ayacucho 400 a ',U$S 35.000, Guemes ,1,1,sin datos
b'VENDO DEPARTAME',U$S 178.000,sin ubicacion,2,sin datos,180
b'Dpto. 2 Dorm y ',U$S 148.960, Nueva Córdoba ,2,2,sin datos
b'CERCA DE MUJER ',U$S 93.000, Jardín Claret ,1,1,70
b'DEPARTAMENTO VE',U$S 165.000, Jardín Espinosa ,2,2,sin datos
b'DEPARTAMENTO 1F',U$S 48.990, General Paz ,1,1,54
b'DEPARTAMENTO 7 ',U$S 54.000, General Paz ,1,1,54
b'VENDO DEPTO 1 D',U$S 46.000, Centro ,1,1,sin datos
b'Oportunidad uni',U$S 120.000, Centro ,3,2,sin datos
"b'B Centro, ,  Dp'",U$S 35.000, Centro ,1,1,sin datos
b'ALBERDI Departa',U$S 42.000, Alberdi ,1,1,42
b'TRES DORMITORIO',U$S 215.000, Nueva Córdoba ,3,3,sin datos
b'EXCELENTE OPORT',U$S 103.000, General Paz ,2,2,sin datos
b'Av. Col\xc3\xb3n 731.',U$S 140.000, Centro ,3,3,110
b'B\xc2\xba Gral Paz. 2',U$S 95.000, General Paz ,2,2,75
b'Alberdi. Enferm',U$S 42.000, Alberdi ,1,1,55
b'Gral Paz. 2 Dor',U$S 95.000, General Paz ,2,2,70
b'VENTA- 1 dormit',U$S 70.000, Nueva Córdoba ,1,1,sin datos
"b'Nueva C\xc3\xb3rdoba,'",U$S 100.000, Nueva Córdoba ,2,sin datos,8162
b'Bv Ocampo esqui',U$S 120.000, General Paz ,2,2,sin datos
b'VTA. 1 DORMITOR',U$S 45.000, Centro ,1,1,sin datos
b'VTA. 1 DORMITOR',U$S 50.000, Centro ,1,1,sin datos
b'VTA- 1 DORMITOR',U$S 80.000, Centro ,2,1,sin datos
b'VTA. 1 DORMITOR',U$S 38.000, Nueva Córdoba ,1,sin datos,35
b'DPTO NVA CBA! P',U$S 80.000, Nueva Córdoba ,2,2,sin datos
b'Venta Obispo Tr',U$S 65.000, Nueva Córdoba ,1,1,sin datos
b'Venta Roma 68 U',U$S 59.000, General Paz ,1,1,sin datos
"b'1 DORMITORIO,  '",U$S 70.500, Nueva Córdoba ,1,1,40
b'Oportunidad- Dp',U$S 55.000, Alto Alberdi ,2,1,sin datos
b'Gral. Paz. 2 Do',U$S 95.000, General Paz ,2,2,70
b'VENTA- 1 dormit',U$S 26.000, Centro ,1,1,sin datos
b'Docta duplex a ',U$S 89.000, Docta Urbanización Inteligente ,2,2,sin datos
"b'MANANTIALES, SA'",U$S 120.000, San Ignacio ,2,2,sin datos
b'Venta Velez Sar',U$S 78.000, Centro ,3,2,sin datos
b'Monoambiente en',U$S 25.000, Alto Verde ,sin datos,1,sin datos
"b'Alta C\xc3\xb3rdoba, '",U$S 52.900, Alta Córdoba ,1,1,sin datos
"b'Nueva Cordoba, '",U$S 115.000, Nueva Córdoba ,2,2,sin datos
b'BARRIO ALBERDI-',U$S 49.000, Alberdi ,1,1,sin datos
b'Duplex a estren',U$S 145.000,sin ubicacion,4,3,sin datos
b'Hermoso Duplex ',U$S 135.000, Docta Urbanización Inteligente ,3,2,sin datos
b'Dpto. 2 Dormito',U$S 134.920, Nueva Córdoba ,2,2,sin datos
b'Ach\xc3\xa1val Rodrig',U$S 65.000, Nueva Córdoba ,1,1,sin datos
b'Venta Nueva Cor',U$S 80.000, Nueva Córdoba ,1,1,sin datos
b'B\xc2\xba Alberdi VEN',U$S 61.000, Alberdi ,2,1,sin datos
"b'General Paz,  d'",U$S 55.000, General Paz ,1,1,sin datos
b'VENTA DE COMPLE',U$S 507.000, Villa Belgrano ,3,2,sin datos
b'DEPARTAMENTO 2 ',U$S 229.500, Alto Verde ,2,2,sin datos
b'MONOAMBIENTE Ce',U$S 22.000, Centro ,sin datos,1,sin datos
b'DPTO 1 DORM AMP',U$S 62.000, General Paz ,1,1,sin datos
b'DPTO GENERAL PA',U$S 62.000, General Paz ,1,1,sin datos
b'Oportunidad 2 U',U$S 120.000, Centro ,1,1,sin datos
b'TERRAFORTE II A',U$S 75.000, Quebrada de las Rosas ,1,1,sin datos
b'Dos dorm dos PA',U$S 63.000, San Martin ,3,1,sin datos
b'VENDO MONOAMBIE',U$S 25.000, Centro ,sin datos,1,sin datos
b'VENTA B\xc2\xba Alber',U$S 43.500, Alberdi ,1,1,sin datos
b'Chateau Village',U$S 590.000, Villa Belgrano ,3,+,250
b'OPORTUNIDAD B\xc2\xba',U$S 95.000, General Paz ,3,2,sin datos
b'EXCELENTE OPORT',U$S 90.000, Alberdi ,3,2,sin datos
b'DEPARTAMENTO A ',U$S 65.000, Centro ,2,2,sin datos
b'B\xc2\xb0 Gral Paz- 2',U$S 48.000, General Paz ,1,1,sin datos
b'Excelente Dpto ',U$S 140.000, Nueva Córdoba ,3,3,sin datos
b'Departamento ti',U$S 67.000, General Paz ,2,sin datos,sin datos
b'LIMA Y OVIDIO L',U$S 55.000, General Paz ,1,1,45
b'FRENTE A CENTRO',consultar, General Paz ,1,sin datos,sin datos
b'VENTA dos dormi',U$S 60.000, Cofico ,2,2,sin datos
b'DEPARTAMENTO VE',U$S 110.000, General Paz ,2,2,sin datos
b'DPTOS A ESTRENA',U$S 39.000, Alberdi ,1,1,1
b'VENTA 2 DORMITO',U$S 42.000, Alto Alberdi ,2,1,sin datos
b'LA MEJOR UBICAC',U$S 110.000, Nueva Córdoba ,3,2,70
b'Vendo Excelente',U$S 39.000, Cofico ,1,1,sin datos
b'DPTO EN VENTA 1',U$S 45.000, Nueva Córdoba ,1,1,sin datos
b'Duplex en Venta',U$S 200.000, Jardín Hipodromo ,3,2,sin datos
b'BALCONES DEL CH',U$S 90.000, Alto Verde ,3,1,sin datos
b'VENTA DEPARTAME',U$S 42.500, Juniors ,2,sin datos,55
