titulo,precio,ubicacion,dorm,ban,sup
b'VENTA- 2 dormit',U$S 150.000, Otro ,2,2,sin datos
b'BETANIA PLAZA A',U$S 78.000, Nueva Córdoba ,1,1,53
b'Departamento en',U$S 56.000, General Paz ,1,1,43
b'Nva. Cba. Bs As',U$S 65.000, Nueva Córdoba ,1,1,sin datos
b'\xc2\xa1GRAL PAZ A ES',U$S 60.000, General Paz ,1,1,43
b'Nva Cba con Ame',U$S 62.000, Nueva Córdoba ,1,1,45
b'TORRE REGAM PIL',U$S 42.000, Providencia ,1,1,45
b'NUEVA C\xc3\x93RDOBA!',consultar, Nueva Córdoba ,1,1,45
b'Rodas Chacabuco',consultar, Nueva Córdoba ,2,3,150
b'Centro departam',U$S 65.000, Centro ,3,2,sin datos
b'DOCTA A ESTRENA',U$S 95.000, Docta Urbanización Inteligente ,3,3,sin datos
b'DEPARTAMENTOS A',U$S 55.000, Guemes ,sin datos,1,sin datos
b'SE VENDE EXCELE',U$S 270.000, Nueva Córdoba ,3,3,sin datos
b'CHATEAU VILLAGE',U$S 550.000, Villa Belgrano ,3,4,270
b'CASONAS DEL NOR',U$S 245.000, Urca ,2,2,88
b'NUEVA CBA- Se V',U$S 55.000, Nueva Córdoba ,1,1,40
b'Departamento 1 ',U$S 39.500, Quebrada de las Rosas ,1,1,sin datos
b'Venta dpto 1 do',U$S 64.500, General Paz ,1,1,55
b'VENTA- Monoambi',U$S 77.000, Nueva Córdoba ,Monoambiente,1,sin datos
b'GENERAL PAZ SE ',U$S 25.000, General Paz ,1,1,42
b'Departamento en',U$S 29.494.500, Nueva Córdoba ,1,1,sin datos
b'CENTRO- 27 DE A',U$S 79.000, Centro ,2,2,70
b'Departamentos 3',consultar, Valle Escondido ,3,3,180
b'SAINT JORDI VIL',U$S 290.000, Villa Belgrano ,2,3,sin datos
b'MANANTIALES- La',U$S 194.000, Manantiales ,3,2,90
"b'NVA CBA,  3 DOR'",U$S 240.000, Nueva Córdoba ,3,2,sin datos
b'B\xc2\xbaTEODORO FELS',U$S 110.000, Las Palmas ,3,2,84
b'Excelente Oport',U$S 51.000, Otro ,1,1,45
b'DEPARTAMENTO EN',U$S 37.500, Alberdi ,1,1,43
b'Nueva C\xc3\xb3rdoba ',U$S 52.000, Nueva Córdoba ,1,1,sin datos
"b'General Paz,  1'",U$S 58.900, General Paz ,1,1,64
b'ZONA PATIO \xc2\xa1O!',U$S 36.000, Centro ,1,1,40
b'Duarte Quiros 6',U$S 43.900, Centro ,1,1,sin datos
b'VENDO DEPARTAME',U$S 58.000, Centro ,2,1,49
b'VENDO NUEVA CBA',U$S 84.999, Nueva Córdoba ,1,1,41
b'VENDO A METROS ',U$S 60.500,sin ubicacion,1,1,40
b'VENDO DPTO GRAL',U$S 50.000, General Paz ,1,sin datos,42
b'GENERAL PAZ-2 D',U$S 90.000, General Paz ,2,2,sin datos
b'CARDINALES ALTO',U$S 85.000, Alto Alberdi ,1,1,sin datos
b'GENERAL PAZ-AMP',U$S 130.000, General Paz ,2,sin datos,sin datos
